combo,groups,n_groups,n_feats,spearman,spearman_std,pearson,pearson_std,r2,r2_std,rmse,auroc,has_structural,has_biochemical,has_alphamissense,has_evo,has_engineered
alpha+engin,"['alphamissense', 'engineered']",2,6,0.6955108359133126,0.13853127521474845,0.8260319149281314,0.09156381860060063,0.6104365765253834,0.15894480704055797,0.3302053162652489,0.856679286100595,0,0,1,0,1
engin,['engineered'],1,4,0.6955108359133126,0.13853127521474845,0.826031849006669,0.09156392370646954,0.6104364675650247,0.15894500155995217,0.3302053303215129,0.856679286100595,0,0,0,0,1
struc+engin,"['structural', 'engineered']",2,13,0.695216718266254,0.13832926780199362,0.8258170479926115,0.0915554808732324,0.6100665750854126,0.15892225670402552,0.33039697739644774,0.8561384532179557,1,0,0,0,1
struc+alpha+engin,"['structural', 'alphamissense', 'engineered']",3,15,0.695216718266254,0.13832926780199362,0.8258168722630005,0.0915553788689334,0.6100663958720606,0.15892193629147375,0.3303970981792947,0.8561384532179557,1,0,1,0,1
bioch+engin,"['biochemical', 'engineered']",2,13,0.697079463364293,0.1333388110841096,0.8247308853498216,0.09148835318123782,0.6079253934867203,0.15857964072755426,0.331358266487927,0.8566792861005949,0,1,0,0,1
bioch+alpha+engin,"['biochemical', 'alphamissense', 'engineered']",3,15,0.697079463364293,0.1333388110841096,0.8247306072237223,0.09148831322757675,0.6079249614726173,0.15857963726454682,0.33135848552926844,0.8566792861005949,0,1,1,0,1
alpha+evo+engin,"['alphamissense', 'evo', 'engineered']",3,9,0.6900515995872034,0.13226147631073906,0.8232956950586491,0.08829644699819082,0.6076558828326268,0.15427683765020583,0.3319373078347895,0.8561384532179556,0,0,1,1,1
struc+alpha+evo+engin,"['structural', 'alphamissense', 'evo', 'engineered']",4,18,0.6900515995872034,0.13226147631073906,0.8232956739180557,0.08829643055893434,0.6076556846604074,0.15427682914244759,0.3319373901439496,0.8561384532179556,1,0,1,1,1
struc+evo+engin,"['structural', 'evo', 'engineered']",3,16,0.6900515995872034,0.13226147631073906,0.8232955930461813,0.08829683929157801,0.6076556490246801,0.1542774587742443,0.3319373586093298,0.8561384532179556,1,0,0,1,1
evo+engin,"['evo', 'engineered']",2,7,0.6900515995872034,0.13226147631073906,0.823295304731356,0.08829659421306352,0.6076552576079352,0.15427740425117797,0.33193754219233595,0.8561384532179556,0,0,0,1,1
struc+bioch+engin,"['structural', 'biochemical', 'engineered']",3,22,0.6967853457172342,0.13313239042909564,0.8245160985573324,0.09147685113362851,0.6075555117443374,0.15855098653084485,0.33154990969757414,0.856679286100595,1,1,0,0,1
struc+bioch+alpha+engin,"['structural', 'biochemical', 'alphamissense', 'engineered']",4,24,0.6967853457172342,0.13313239042909564,0.8245156638447578,0.09147680367945574,0.6075549953093843,0.15855095237666283,0.33155016255587993,0.856679286100595,1,1,1,0,1
bioch+evo+engin,"['biochemical', 'evo', 'engineered']",3,16,0.6868163054695563,0.1340293491884043,0.822485329260394,0.08864308453084299,0.6062054605762272,0.154768935139289,0.3325563265712993,0.856679286100595,0,1,0,1,1
struc+bioch+evo+engin,"['structural', 'biochemical', 'evo', 'engineered']",4,25,0.6868163054695563,0.1340293491884043,0.8224853093557851,0.08864307242229304,0.6062054483766562,0.1547689802882862,0.33255632891724707,0.856679286100595,1,1,0,1,1
struc+bioch+alpha+evo+engin,"['structural', 'biochemical', 'alphamissense', 'evo', 'engineered']",5,27,0.6868163054695563,0.1340293491884043,0.8224853013491767,0.08864296896141385,0.6062052155189676,0.1547688790292122,0.33255642758045717,0.856679286100595,1,1,1,1,1
bioch+alpha+evo+engin,"['biochemical', 'alphamissense', 'evo', 'engineered']",4,18,0.6868163054695563,0.1340293491884043,0.8224852341687875,0.08864299215260972,0.6062050918646456,0.1547688254382053,0.3325564885670731,0.856679286100595,0,1,1,1,1
alpha+evo,"['alphamissense', 'evo']",2,5,0.6913983488132095,0.13539236875539232,0.796922057866069,0.07668201618904719,0.5717268017820498,0.12723691586941116,0.34894955602520766,0.8572201189832341,0,0,1,1,0
struc+alpha+evo,"['structural', 'alphamissense', 'evo']",3,14,0.6913983488132095,0.13539236875539232,0.7964637100839497,0.07640136288633237,0.5706060716417971,0.12876847298127497,0.3493625578846538,0.8572201189832341,1,0,1,1,0
bioch+alpha+evo,"['biochemical', 'alphamissense', 'evo']",3,14,0.6882610939112488,0.13929119091781933,0.7956917923805034,0.07712356136889308,0.5699469022352258,0.12784072539179178,0.3496907498517391,0.8572201189832341,0,1,1,1,0
struc+bioch+alpha+evo,"['structural', 'biochemical', 'alphamissense', 'evo']",4,23,0.6882610939112488,0.13929119091781933,0.7952337501521187,0.07683731231247984,0.5688266140444668,0.12934987736060635,0.3501035530970803,0.856679286100595,1,1,1,1,0
evo,['evo'],1,3,0.6787461300309598,0.1464284094156896,0.7791881475841831,0.08564094648993646,0.5362562392179803,0.12844693552979156,0.36326603825087006,0.8501892915089238,0,0,0,1,0
struc+evo,"['structural', 'evo']",2,12,0.6777657378740972,0.14566710369295746,0.7782021898266274,0.08537200915849466,0.5343038043684398,0.13125764122914158,0.36396786572919787,0.8501892915089238,1,0,0,1,0
bioch+evo,"['biochemical', 'evo']",2,12,0.6771775025799794,0.14820589930380784,0.7745426011425899,0.0864004767391371,0.5301638062925179,0.12781625252493806,0.3657244219456789,0.8480259599783666,0,1,0,1,0
struc+bioch+evo,"['structural', 'biochemical', 'evo']",3,21,0.6761971104231166,0.14744334119463134,0.7735523188248056,0.08607952210417212,0.5282064148330978,0.13054497957548492,0.3664283687818611,0.8485667928610059,1,1,0,1,0
alpha,['alphamissense'],1,2,0.6569969040247677,0.1554031308327462,0.7576411235819343,0.0841569194280613,0.5013319054906189,0.12478934029735807,0.37794498417522193,0.8328826392644673,0,0,1,0,0
struc+alpha,"['structural', 'alphamissense']",2,11,0.6507791537667699,0.1555573033552835,0.7561476832939885,0.08366634792341182,0.49884973433745117,0.12602431839530118,0.37892348906051837,0.8312601406165495,1,0,1,0,0
bioch+alpha,"['biochemical', 'alphamissense']",2,11,0.6498039215686275,0.14220680312254289,0.7537798302606444,0.08462038741806739,0.4975837803527275,0.12388427857218606,0.37946614200683443,0.8377501352082206,0,1,1,0,0
struc+bioch+alpha,"['structural', 'biochemical', 'alphamissense']",3,20,0.6479153766769866,0.14059443066849542,0.7521700244296031,0.08392620967386202,0.495228194364443,0.12494154464308817,0.3804064009335047,0.8355868036776636,1,1,1,0,0
bioch,['biochemical'],1,9,0.285873585010388,0.20145481471165688,0.2785402599351556,0.18486928671654726,-0.02630234431407553,0.15024254588933855,0.5451654266617915,0.5819361817198485,0,1,0,0,0
struc+bioch,"['structural', 'biochemical']",2,18,0.25845578939127334,0.21200182003739615,0.23173118068429574,0.1979703239283332,-0.05077098103803025,0.16354890046017323,0.5515084682480007,0.568415359653867,1,1,0,0,0
struc,['structural'],1,9,0.02510992955534616,0.17117280993948542,-0.00817418082769357,0.2055726420961384,-0.13434473352032142,0.1969115106593415,0.5726155052946418,0.42401297998918336,1,0,0,0,0
